date,0x20240830,,,,,,,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,bpp,bpp,epp/epp-plus,epp/epp-plus,airvooc,airvooc,airsvooc,airsvooc,end
crc32,0x8955bdf5,NA,0x99db4848,NA,0x4a7ff9c4,NA,0xc760507b,NA,0x81b34f,NA,0x8b38955e,NA,0x6d54bf87,NA,0x917abdfe,NA,0x26645874,NA,0x26645874,NA,0x85f9e64c,NA,end
82,4148,459,1119,1753,392,4906,351,5778,813,2259,313,5770,303,6186,2220,845,905,2081,905,2081,398,4767,end
83,4094,459,1068,1752,405,4842,311,5782,818,2256,345,5765,301,6183,2128,845,892,2070,892,2070,347,4767,end
84,4064,457,1124,1744,396,4697,349,5782,868,2249,405,4960,361,6091,2197,843,906,2067,906,2067,408,4735,end
85,4141,456,1113,1722,407,4639,311,5792,809,2241,404,4890,293,5952,2125,843,948,2031,948,2031,396,4757,end
86,4189,456,1163,1698,395,4585,311,5787,870,2240,369,4793,314,5882,2200,837,1062,1827,1062,1827,403,4916,end
87,4148,454,1125,1671,405,4520,363,5786,810,2233,514,3920,415,4963,2152,836,1044,1815,1044,1815,368,4920,end
88,4194,454,1164,1648,395,4427,411,4583,869,2226,503,3838,372,4961,2216,837,1043,1816,1043,1816,451,4404,end
89,4154,452,1224,1625,456,4370,411,4591,818,2222,528,3739,516,4005,2186,836,1077,1757,1077,1757,433,4243,end
90,4209,449,1163,1604,443,4295,418,4586,868,2216,614,3069,506,4006,2179,833,1963,970,1963,970,432,3985,end
91,4247,449,1224,1581,404,4241,510,3550,808,2208,714,2781,479,4008,2202,829,1925,969,1925,969,540,3449,end
92,4194,448,1253,1559,435,4227,511,3545,867,2202,645,2893,606,3031,2160,827,1959,976,1959,976,582,3297,end
93,4243,448,1211,1537,519,3923,561,3548,870,2194,917,2064,617,3033,2200,829,1968,971,1968,971,624,2976,end
94,4178,446,1322,1513,611,3006,515,3553,819,2189,965,2065,919,1990,2280,823,1926,972,1926,972,743,2488,end
95,4252,443,1272,1487,609,3025,767,2517,869,2183,937,2069,919,1993,2201,826,1961,974,1961,974,742,2378,end
96,4262,440,1212,1464,594,3027,710,2506,868,2170,1027,1866,969,1994,2197,826,1925,973,1925,973,842,2253,end
97,4245,442,1268,1440,914,2167,729,2509,836,2157,1076,1811,919,1991,2226,822,2649,726,2649,726,473,2164,end
98,4256,440,1279,1369,813,2174,1067,1711,927,1999,1546,1253,874,1985,2209,821,2552,732,2552,732,1303,1459,end
99,4318,439,1555,1172,864,2171,1025,1699,1062,1813,1670,1169,1124,1620,2211,821,2546,744,2546,744,1461,1460,end
end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end
